-60,-37,-55,1
-62,-47,-56,1
-63,-46,-65,1
-57,-42,-61,1
-68,-47,-57,1
-65,-28,-59,1
-66,-52,-66,1
-65.5,-35,-59,1
-52,-55,-60,2
-54,-44,-63,2
-58,-47,-67,2
-63,-52,-65,2
-53,-54,-62,2
-57,-54,-66,2
-56,-54,-63,2
-51,-63,-66,2
-45,-58,-63,3
-44,-54,-58,3
-45,-56,-65,3
-46,-58,-60,3
-45,-56,-55,3
-51,-60,-60,3
-52,-63,-67,3
-61,-51,-63,4
-60,-51,-54,4
-64,-54,-62,4
-57,-47,-60,4
-61,-55,-63,4
-66,-52,-56,4
-65,-49,-67,4
-66,-53,-61,5
-66,-52,-45,5
-63,-48,-58,5
-65,-46,-59,5
-62,-53,-61,5
-61,-56,-64,5
-59,-57,-68,6
-57,-63,-65,6
-58,-62,-61,6
-61,-62,-67,6
-57,-54,-64,6
-59,-59,-68,6
-55,-57,-55,6
-65,-55,-53,7
-65,-58,-54,7
-64,-59,-54,7
-65,-58,-54,7
-66,-53,-56,7
-66,-58,-61,7
-67,-56,-62,7
-59,-60,-46,8
-64,-56,-50,8
-64,-66,-42,8
-66,-58,-45,8
-63,-63,-47,8
-63,-63,-43,8
-59,-61,-37,8
-55,-64,-59,9
-62,-56,-52,9
-63,-56,-53,9
-56,-67,-49,9
-61,-67,-56,9
-63,-62,-46,9
-59,-56,-59,9
-58,-67,-57,9
-58,-66.5,-51,9
-53,5,-61.5,-59.5,9
-67,-71,-75,0
-78,-81,-88,0
-72,-80,-82,0
-72,-72,-77,0
-70,-71,-75,0
-70,-59,-75,0
